"","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","sum.dee","fee","cvr","olai","vai"
"542",4,7,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"543",4,8,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"544",4,9,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"531",4,10,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"532",4,11,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"533",4,12,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"534",4,13,190,33,232,265,1,190,0.184549356223176,1.68983833787214,5.4510384535657,0.310003011768659,0.818965517241379,3.92419720048555,1.21651295092466
"535",4,14,2,33,232,265,1,192,0.175965665236052,0.0476280489892547,5.4510384535657,0.0087374267114369,0.00862068965517241,3.92419720048555,0.0342873854404683
"536",4,15,40,33,232,265,1,232,0.00429184549356223,3.71357206670431,5.4510384535657,0.681259561519905,0.172413793103448,3.92419720048555,2.67339686412042
"561",5,0,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"562",5,1,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"569",5,2,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"570",5,3,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"571",5,4,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"572",5,5,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"573",5,6,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"574",5,7,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"575",5,8,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"576",5,9,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"563",5,10,0,0,243,266,1,0,1,0,5.4971682252932,0,0,4.54220926226938,0
"564",5,11,11,23,243,266,1,11,0.954918032786885,0.0461297717275014,5.4971682252932,0.00839155176573498,0.0452674897119342,4.54220926226938,0.0381161841551344
"565",5,12,19,23,243,266,1,30,0.877049180327869,0.085062438543849,5.4971682252932,0.015473864916934,0.0781893004115226,4.54220926226938,0.070285532548803
"566",5,13,103,23,243,266,1,133,0.454918032786885,0.656445813709517,5.4971682252932,0.119415267426076,0.423868312757202,4.54220926226938,0.542409133759099
