"xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","pulses.in","pulses.out","lad","sum.lad"
1,0,0,0,355,355,1,355,355,0,3.0389044454192
1,1,0,0,355,355,1,355,355,0,3.0389044454192
1,2,0,0,355,355,1,355,355,0,3.0389044454192
1,3,0,0,355,355,1,355,355,0,3.0389044454192
1,4,0,0,355,355,1,355,355,0,3.0389044454192
1,5,0,0,355,355,1,355,355,0,3.0389044454192
1,6,0,0,355,355,1,355,355,0,3.0389044454192
1,7,0,0,355,355,1,355,355,0,3.0389044454192
1,8,0,0,355,355,1,355,355,0,3.0389044454192
1,9,0,0,355,355,1,355,355,0,3.0389044454192
1,10,0,0,355,355,1,355,355,0,3.0389044454192
1,11,55,0,355,355,1,355,300,0.168335314819215,3.0389044454192
1,12,277,0,355,355,1,300,23,2.56828825872705,3.0389044454192
1,13,0,0,355,355,1,23,23,0,3.0389044454192
1,14,0,0,355,355,1,23,23,0,3.0389044454192
1,15,0,0,355,355,1,23,23,0,3.0389044454192
1,16,0,0,355,355,1,23,23,0,3.0389044454192
1,17,0,0,355,355,1,23,23,0,3.0389044454192
1,18,0,0,355,355,1,23,23,0,3.0389044454192
1,19,4,0,355,355,1,23,19,0.191055236762709,3.0389044454192
1,20,0,0,355,355,1,19,19,0,3.0389044454192
1,21,2,0,355,355,1,19,17,0.111225635110224,3.0389044454192
1,22,0,0,355,355,1,17,17,0,3.0389044454192
1,23,0,0,355,355,1,17,17,0,3.0389044454192
1,24,17,0,355,355,1,17,0,0,3.0389044454192
1,25,0,0,355,355,1,0,0,0,3.0389044454192
1,26,0,0,355,355,1,0,0,0,3.0389044454192
1,27,0,0,355,355,1,0,0,0,3.0389044454192
2,0,0,0,354,354,1,354,354,0,5.17614973257383
2,1,0,0,354,354,1,354,354,0,5.17614973257383
2,2,0,0,354,354,1,354,354,0,5.17614973257383
2,3,0,0,354,354,1,354,354,0,5.17614973257383
2,4,2,0,354,354,1,354,352,0.0056657375356773,5.17614973257383
2,5,0,0,354,354,1,352,352,0,5.17614973257383
2,6,29,0,354,354,1,352,323,0.0859788523754405,5.17614973257383
2,7,0,0,354,354,1,323,323,0,5.17614973257383
2,8,0,0,354,354,1,323,323,0,5.17614973257383
2,9,0,0,354,354,1,323,323,0,5.17614973257383
2,10,0,0,354,354,1,323,323,0,5.17614973257383
2,11,0,0,354,354,1,323,323,0,5.17614973257383
2,12,315,0,354,354,1,323,8,3.69821078154282,5.17614973257383
2,13,0,0,354,354,1,8,8,0,5.17614973257383
2,14,0,0,354,354,1,8,8,0,5.17614973257383
2,15,0,0,354,354,1,8,8,0,5.17614973257383
2,16,0,0,354,354,1,8,8,0,5.17614973257383
2,17,0,0,354,354,1,8,8,0,5.17614973257383
2,18,0,0,354,354,1,8,8,0,5.17614973257383
2,19,0,0,354,354,1,8,8,0,5.17614973257383
2,20,0,0,354,354,1,8,8,0,5.17614973257383
2,21,0,0,354,354,1,8,8,0,5.17614973257383
2,22,0,0,354,354,1,8,8,0,5.17614973257383
2,23,1,0,354,354,1,8,7,0.133531392624523,5.17614973257383
2,24,5,0,354,354,1,7,2,1.25276296849537,5.17614973257383
2,25,2,0,354,354,1,2,0,0,5.17614973257383
2,26,0,0,354,354,1,0,0,0,5.17614973257383
2,27,0,0,354,354,1,0,0,0,5.17614973257383
3,0,0,0,355,355,1,355,355,0,4.48582342835553
3,1,0,0,355,355,1,355,355,0,4.48582342835553
3,2,0,0,355,355,1,355,355,0,4.48582342835553
3,3,0,0,355,355,1,355,355,0,4.48582342835553
3,4,130,0,355,355,1,355,225,0.456017387270996,4.48582342835553
3,5,74,0,355,355,1,225,151,0.398820565389496,4.48582342835553
3,6,0,0,355,355,1,151,151,0,4.48582342835553
3,7,0,0,355,355,1,151,151,0,4.48582342835553
3,8,0,0,355,355,1,151,151,0,4.48582342835553
3,9,0,0,355,355,1,151,151,0,4.48582342835553
3,10,27,0,355,355,1,151,124,0.196998271209887,4.48582342835553
3,11,0,0,355,355,1,124,124,0,4.48582342835553
3,12,120,0,355,355,1,124,4,3.43398720448515,4.48582342835553
3,13,0,0,355,355,1,4,4,0,4.48582342835553
3,14,0,0,355,355,1,4,4,0,4.48582342835553
3,15,0,0,355,355,1,4,4,0,4.48582342835553
3,16,0,0,355,355,1,4,4,0,4.48582342835553
3,17,0,0,355,355,1,4,4,0,4.48582342835553
3,18,0,0,355,355,1,4,4,0,4.48582342835553
3,19,0,0,355,355,1,4,4,0,4.48582342835553
3,20,0,0,355,355,1,4,4,0,4.48582342835553
3,21,0,0,355,355,1,4,4,0,4.48582342835553
3,22,0,0,355,355,1,4,4,0,4.48582342835553
3,23,4,0,355,355,1,4,0,0,4.48582342835553
3,24,0,0,355,355,1,0,0,0,4.48582342835553
3,25,0,0,355,355,1,0,0,0,4.48582342835553
3,26,0,0,355,355,1,0,0,0,4.48582342835553
3,27,0,0,355,355,1,0,0,0,4.48582342835553
4,0,0,0,353,354,1,354,354,0,5.86929691313377
4,1,0,0,353,354,1,354,354,0,5.86929691313377
4,2,0,0,353,354,1,354,354,0,5.86929691313377
4,3,0,0,353,354,1,354,354,0,5.86929691313377
4,4,29,1,353,354,1,354,325,0.085471730804037,5.86929691313377
4,5,104,1,353,354,1,325,221,0.385662480811985,5.86929691313377
4,6,0,0,353,354,1,221,221,0,5.86929691313377
4,7,116,1,353,354,1,221,105,0.744202351360229,5.86929691313377
