"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,13.9479133858268,0.338163833300859,14.531,0.916271349895665,1.2648528417038,0.234741411982039,18.1112983672312,14,14.3188976377953
"2",2,13.7800458015267,0.279259292922285,14.233,5.75965988580661,7.05154621533333,1.45453046918703,100.955533792807,14,14.3167938931298
"3",3,14.0929043478261,0.357568925750318,14.777,2.87440519976286,3.82146356037837,0.741458059361385,56.3582799861018,14,14.7478260869565
"4",4,13.3359094827586,0.64939995980018,14.827,3.21378219005282,3.92419720048555,0.811197786111384,54.3974922274203,13,13.8620689655172
"5",5,13.5352469135802,1.00948992763096,14.742,1.92529857618826,4.54220926226938,0.577958208140985,64.1049656993944,13,14.1131687242798
"6",6,12.7797452830189,0.301482484344066,13.081,2.71456042391697,3.07746957149945,0.678656278208454,41.1829300676601,13,13.3820754716981
"7",7,11.9124361702128,0.180359471314101,12.688,0.837881917069262,0.856096741353376,0.209216241381275,10.7194240912013,12,12.5212765957447
"17",8,0,0,0,0,0,0,0,0,0
"18",9,0,0,0,0,0,0,0,0,0
"19",10,0,0,0,0,0,0,0,0,0
"20",11,0,0,0,0,0,0,0,0,0
"21",12,0,0,0,0,0,0,0,0,0
"22",13,0,0,0,0,0,0,0,0,0
"23",14,0,0,0,0,0,0,0,0,0
"24",15,0,0,0,0,0,0,0,0,0
"25",16,0,0,0,0,0,0,0,0,0
"26",17,0,0,0,0,0,0,0,0,0
"27",18,0,0,0,0,0,0,0,0,0
"28",19,0,0,0,0,0,0,0,0,0
"29",20,0,0,0,0,0,0,0,0,0
"30",21,0,0,0,0,0,0,0,0,0
"8",22,6.26816853932584,0.678136085765358,9.301,0.71667493840096,0.966425295722506,0.183207568895964,6.5966670466452,6,6.82584269662921
"9",23,6.09274561403509,0.509782882200927,8.836,2.80818411790733,8,0.968353054549158,61.4472735680112,6,7.68090919600139
"10",24,4.9307850877193,0.430236183826466,6.293,4.8524188228231,8,1.37301981107252,48.6530642928451,6,6.08163303660564
"11",25,5.02337556561086,0.609799541682847,7.506,3.78432386228293,5.88968713777837,0.980794677879046,32.9529327867102,5,5.59502262443439
"12",26,8.88546696035242,1.88239058432533,11.949,4.53996107566547,7.5777291483534,1.19550800882805,71.9884269093573,9,9.5
"13",27,9.2466338028169,1.27033040835806,10.732,2.01079997389833,4.98023714465517,0.581422711087775,48.4111784413546,10,9.7206572769953
"14",28,10.2723461538462,0.125707578867049,10.532,0.228313937553958,0.237446495056117,0.0569718382548319,2.50232075559138,10,10.5384615384615
"15",29,7.27288888888889,0.0535197263736569,7.321,0.0790429695680978,0.0790429695680978,0.0197607423920245,0.592822271760734,7,7.5
"16",30,7.315,0,7.315,0.00862985818815529,0.00862985818815529,0.00215746454703882,0.0647239364111647,7,7.5
"31",31,0,0,0,0,0,0,0,0,0
"32",32,0,0,0,0,0,0,0,0,0
"33",33,0,0,0,0,0,0,0,0,0
"34",34,0,0,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,0,0,0
"36",36,0,0,0,0,0,0,0,0,0
"37",37,0,0,0,0,0,0,0,0,0
"38",38,0,0,0,0,0,0,0,0,0
"39",39,0,0,0,0,0,0,0,0,0
"40",40,0,0,0,0,0,0,0,0,0
