"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,13.8979133858268,0.338163833300859,14.481,1.1952600665031,1.26488094908128,0.298160857637693,18.2711528791004,14,14.4449585491593
"2",2,13.7300458015267,0.279259292922285,14.183,6.64108484492269,7.05259727947723,1.65659600540987,101.851148117865,14,14.4416509381938
"3",3,14.0429043478261,0.357568925750318,14.727,2.76091445765868,3.82164702741049,0.722428603578902,58.171749944406,15,15.2216438428702
"4",4,13.2859094827586,0.64939995980018,14.777,2.673529585337,3.92439201788567,0.714909485849329,58.3606404997738,15,14.8712565497512
"5",5,13.4852469135802,1.00948992763096,14.692,3.35527410139154,4.54248615961653,0.83890996446972,68.4239460585987,15,15.0631050165654
"6",6,12.7297452830189,0.301482484344066,13.031,2.99357198645847,3.07758614572954,0.747286673541588,41.4633988080777,13,13.4727012810388
"7",7,11.8624361702128,0.180359471314101,12.638,0.649578294301519,0.856113763673697,0.167092925646078,10.9079575152934,12,12.7412476917623
"17",8,0,0,0,0,0,0,0,0,0
"18",9,0,0,0,0,0,0,0,0,0
"19",10,0,0,0,0,0,0,0,0,0
"20",11,0,0,0,0,0,0,0,0,0
"21",12,0,0,0,0,0,0,0,0,0
"22",13,0,0,0,0,0,0,0,0,0
"23",14,0,0,0,0,0,0,0,0,0
"24",15,0,0,0,0,0,0,0,0,0
"25",16,0,0,0,0,0,0,0,0,0
"26",17,0,0,0,0,0,0,0,0,0
"27",18,0,0,0,0,0,0,0,0,0
"28",19,0,0,0,0,0,0,0,0,0
"29",20,0,0,0,0,0,0,0,0,0
"30",21,0,0,0,0,0,0,0,0,0
"8",22,6.21816853932584,0.678136085765358,9.251,0.375683803486825,0.966445090461553,0.130963838230071,7.55079959026421,7,7.81296285198998
"9",23,6.04274561403509,0.509782882200927,8.786,3.93478874890242,8.07017543859649,1.24398662673736,57.386992103489,6,7.11099684760625
"10",24,4.8807850877193,0.430236183826466,6.243,5.33333333333333,8,1.37637514361448,43.0877192982456,5,5.3859649122807
"11",25,4.97337556561086,0.609799541682847,7.456,3.59812321645124,5.8902609691535,0.944236331746591,32.6896157405736,5,5.54977375565611
"12",26,8.83546696035242,1.88239058432533,11.899,4.50739797760696,7.57910622901319,1.15873138149443,71.5006871781134,9,9.43392070484582
"13",27,9.1966338028169,1.27033040835806,10.682,2.19800669927029,4.9805896483465,0.603610009019852,47.6195813091909,10,9.56103286384976
"14",28,10.2223461538462,0.125707578867049,10.482,0.237450511444236,0.237450511444236,0.059362627861059,2.49323037016448,10,10.5
"15",29,7.22288888888889,0.0535197263736569,7.271,0.0790442539898446,0.0790442539898446,0.0197610634974611,0.592831904923834,7,7.5
"16",30,7.265,0,7.265,0.00862999596460944,0.00862999596460944,0.00215749899115236,0.0647249697345708,7,7.5
"31",31,0,0,0,0,0,0,0,0,0
"32",32,0,0,0,0,0,0,0,0,0
"33",33,0,0,0,0,0,0,0,0,0
"34",34,0,0,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,0,0,0
"36",36,0,0,0,0,0,0,0,0,0
"37",37,0,0,0,0,0,0,0,0,0
"38",38,0,0,0,0,0,0,0,0,0
"39",39,0,0,0,0,0,0,0,0,0
"40",40,0,0,0,0,0,0,0,0,0
