"",".id","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","x.counter","sum.dee","fee","cvr","olai","vai"
"1","1",1,0,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"2","1",1,1,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"3","1",1,2,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"4","1",1,3,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"5","1",1,4,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"6","1",1,5,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"7","1",1,6,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"8","1",1,7,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"9","1",1,8,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"10","1",1,9,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"11","1",1,10,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"12","1",1,11,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"13","1",1,12,0,0,127,266,1,0,1,0,1,3.05242761723054,0,0,1.2648528417038,0
"14","1",1,13,29,139,127,266,1,29,0.771653543307087,0.259219607788019,1,3.05242761723054,0.0849224421652982,0.228346456692913,1.2648528417038,0.288824664641025
"15","1",1,14,92,139,127,266,1,121,0.047244094488189,2.79320800944252,1,3.05242761723054,0.915077557834702,0.724409448818898,1.2648528417038,0.916271349895665
"16","1",1,15,6,139,127,266,1,127,0,0,1,3.05242761723054,0,0.047244094488189,1.2648528417038,0.0597568271671086
"17","2",2,0,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"18","2",2,1,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"19","2",2,2,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"20","2",2,3,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"21","2",2,4,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"22","2",2,5,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"23","2",2,6,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"24","2",2,7,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"25","2",2,8,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"26","2",2,9,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"27","2",2,10,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"28","2",2,11,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
"29","2",2,12,0,0,262,265,1,0,1,0,1,0.202368488739245,0,0,7.05154621533333,0
